name	direction_1to2	room1	room2	question1	solution1	val1	hint1	prepare1	cleanup1	question2	solution2	val2	hint2	prepare2	cleanup2
d_reading_darkRoom2	east	reading	darkRoom2	"変数path_to_example2にあなたのシステム内のexample2.csvファイルへのパスが格納されています。それをexample2.dfという名前でデータフレームとして読み込みなさい。このデータには要素名がつけられていないので、c(""A"",""B"",""C"",""D"")という列を追加して名前を付与して下さい。"	"example2.df <- read.csv(path_to_example2_file, header = FALSE, col.names = c(""A"", ""B"", ""C"", ""D""))"	0	?read.csv	"path_to_example2_file <<- system.file(""extdata"", ""example2.csv"", package = ""CastleOfR"")"	"tryCatch(rm(path_to_example2_file, example2.df, envir = globalenv()), warning = function(w) {invisible()})"	NA	NA	NA	NA	NA	NA
d_reading_probability	west	reading	probability	[]の括弧を使用せず、変数airqualityのデータセットから始めの10行を取り出しなさい。	"head(airquality, 10)"	NA	4階に向かおう。	NA	NA	aからzまでの文字ベクトルを得る最も手っ取り早い方法は何ですか？	letters	NA	文中に答えがあります。	NA	NA
d_probability_timeRoom2	south	probability	timeRoom2	パラメータλ = 3の指数分布に従う確率密度関数から、無作為に1000個の標本を取り出しヒストグラムにプロットしなさい。	"hist(rexp(1000, 3))"	NA	?hist	NA	NA	NA	NA	NA	NA	NA	NA
d_probability_grouping	up	probability	grouping	変数xに格納されたベクトルの、最小値、最大値、平均、および中央値を単一の関数で取得しなさい。	summary(x)	NA	?summary	"x <<- runif(20, -10, 10)"	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"	変数heightには男性の身長10人分が格納されており、変数countriesは各男性の居住国を要素に持っています。居住国ごとで身長リストを分割してください。	"split(height, countries)"	NA	文中に答えがあります。	"height <<- sample(160:200, 10); countries <<- gl(2, 5, labels = c(""Albania"", ""Turkey""))"	"tryCatch(rm(height, countries, envir = globalenv()), warning = function(w) {invisible()})"
d_grouping_functions	south	grouping	functions	sum1 <- 0; for (i in 1:10) sum1 <- sum1 + i ^ 2    呼出し後のsum1の値は何になりますか？	385	385	?for	NA	"tryCatch(rm(sum1, i, envir = globalenv()), warning = function(w) {invisible()})"	mystery <- function(x) {y <- x^2; return(x)}   この場合 mystery(2) の戻り値は?	2	2	基本を思い出して。	NA	"tryCatch(rm(mystery, envir = globalenv()), warning = function(w) {invisible()})"
d_grouping_darkRoom3	east	grouping	darkRoom3	"ループと"":""演算子を使わず1から10までの平方和を計算しなさい。"	sum((1:10)^2)	NA	このくらい簡単なんだよッ	NA	NA	NA	NA	NA	NA	NA	NA
d_functions_models	east	functions	models	"ワークスペースに関数 f が定義されました。変数xは2と等しくなります。""f(3)""と呼び出した後のx の値を表示して下さい。"	x	2	Scope.	x <<- 2; f <<- function(y) x <- y	"tryCatch(rm(x, f, envir = globalenv()), warning = function(w) {invisible()})"	"""+""記号を使用せずに、変数x1,x2とそれらの相互作用項を含めた、変数yを目的変数とする線形回帰モデルを作成してください。"	lm(y ~ x1 * x2)	NA	*	"x1 <<- rnorm(20, 3, 4); x2 <<- runif(20, 3, 4); y <<- 2 * x1 * x2 -5 + rnorm(20); "	"tryCatch(rm(x1, x2, y, envir = globalenv()), warning = function(w) {invisible()})"
d_models_darkRoom3	north	models	darkRoom3	変数lm1は切片を含む一般線形モデルです。その切片を求めなさい。	coef(lm1)[1]	NA	?coef	"x <<- rnorm(20, 3, 4); y <<- 2 * x + 1 + rnorm(20); lm1 <<- lm(y ~ x)"	"tryCatch(rm(x, y, lm1, envir = globalenv()), warning = function(w) {invisible()})"	NA	NA	NA	NA	NA	NA
d_models_plots	east	models	plots	標準のQQプロットを数値ベクトルvから作成しなさい。	qqnorm(v)	NA	?qqnorm	"v <<- rexp(100, 1)"	"tryCatch(rm(v, envir = globalenv()), warning = function(w) {invisible()})"	"ワークスペースにある変数xのcos(x)をプロットしました。このようにSin(x)の線を色指定は""red""で作成してください。"	"lines(x, sin(x), col = ""red"")"	NA	?lines	"x <<- seq(-10, 10, 0.1); plot(x, cos(x), col = ""green"", type = ""l"", ylim = c(-5, 5))"	"tryCatch(rm(x, envir = globalenv()), warning = function(w) {invisible()})"
d_plots_timeRoom3	north	plots	timeRoom3	変数名ChickenWeightのデータセットから、20日後の鳥たちの体重の箱ひげ図を作成しなさい。	boxplot(ChickWeight$weight[ChickWeight$Time == 20])	NA	文中に答えがあります。	NA	NA	NA	NA	NA	NA	NA	NA
d_functions_osTower	up	functions	osTower	変数名attitudeのデータセットの次元を取得しなさい。	dim(attitude)	NA	文中に答えがあります。	NA	NA	"""forgotsomething.txt""をワーキングディレクトリに作成してください。"	"file.create(""forgotsomething.txt"")"	NA	文中に答えがあります。	NA	"tryCatch(file.remove(""forgotsomething1.txt""), warning = function(w) {invisible()})"
d_plots_packagesTower	up	plots	packagesTower	"""plot(x, y); plot(x, z)""の前に何を書けば、二つのプロットを並べて表示できますか。付け加える分のみ入力してください。"	"par(mfrow = c(1, 2))"	NA	?par	NA	"par(mfrow = c(1,1))"	現在ロードされているパッケージを、()に囲まれた状態で、すべて表示してください。	(.packages())	NA	?.packages	NA	NA
d_packagesTower_bridge	west	packagesTower	bridge	文字ベクトルxのどの値が文字ベクトルyにも含まれていますか。出力は項目の数を表す数ベクトルになります。	which(x %in% y)	NA	文中に答えがあります。	"x <<- c(""do"", ""you"", ""believe"", ""in"", ""dragons""); y <<- c(""teacup"", ""do"", ""password"", ""you"", ""teacup"", ""believe"", ""password"", ""in"", ""teacup"", ""dragons"", ""password"")"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"	変数truthに格納されているベクトルのすべての値がTRUEであることを確認してください。文字列としてのTRUEではありません。	all(truth)	NA	文中に答えがあります。	"truth <<- c(TRUE, TRUE, TRUE, FALSE)"	"tryCatch(rm(truth, envir = globalenv()), warning = function(w) {invisible()})"
d_osTower_bridge	east	osTower	bridge	変数sの中にある文章を分割し単語のリストにしなさい。	"strsplit(s, "" "")"	NA	?strsplit	"s <<- ""The teacup is in the lounge."""	"tryCatch(rm(s, envir = globalenv()), warning = function(w) {invisible()})"	"strsplitを使用しないで、変数sに格納された文字列に""word""という単語が含まれるかどうか確認してください。結果は論理値です。"	"grepl(""word"", s)"	NA	?grepl	"s <<- ""password is 7 characters long"""	"tryCatch(rm(s, envir = globalenv()), warning = function(w) {invisible()})"
