name	room	objName	location	type	points	question	solution	val	hint	tip	floorMapsIdx	prepare	cleanup
o_arrays_11	arrays	傘	壁にひっかけて	tip	0	すべての要素に0を持つ3x5の行列を変数aに格納してください。	"a <- array(0, c(3, 5))"	NA	?array	問題を忘れた ?whatWasTheQuestionを試してみて。	0	NA	"tryCatch(rm(a, envir = globalenv()), warning = function(w) {invisible()})"
o_lists_12	lists	ライター	床の上	power	3	変数wが格納しているlistの先頭に数値3を追加してください	"w <- c(3, w)"	NA	c	NA	0	"w <<- list(4, ""get the button"", 6)"	"tryCatch(rm(w, envir = globalenv()), warning = function(w) {invisible()})"
o_lists_13	lists	ボタン	椅子の上	pwd	0	変数faithfulのデータセットから噴火時間(eruptions)が5分を超えた全行を取得してください。Subset関数を使用しないでください。	"faithful[faithful$eruptions > 5, ]"	NA	?faithful	NA	0	NA	NA
o_reading_14	reading	リップクリーム	くずかご	tip	0	変数path_to_example1_fileにシステム内のexample1.txtへのパスを格納しています。ファイルを読み込んで、example1.dfとして格納してください。ヘッダーが含まれていることに留意してください。	"example1.df <- read.table(path_to_example1_file, header = TRUE)"	NA	?read.table	何を持っていて、何を持っていないのか。 ?whatDoIHaveを試してください。	0	"path_to_example1_file <<- system.file(""extdata"", ""example1.txt"", package = ""CastleOfR"")"	"tryCatch(rm(path_to_example1_file, example1.df, envir = globalenv()), warning = function(w) {invisible()})"
o_reading_15	reading	ビン	棚の上	power	3	path_to_example3_fileにはexample3.Rdataへのパスが格納されています。ロードしてください。	load(path_to_example3_file)	NA	必要な要素は文中にあります	NA	0	"path_to_example3_file <<- system.file(""extdata"", ""example3.RData"", package = ""CastleOfR"")"	"tryCatch(rm(path_to_example3_file, example1.df, envir = globalenv()), warning = function(w) {invisible()})"
o_probability_16	probability	紙幣	ドアの隙間	power	3	標準正規分布の0.95パーセンタイルを求めてください。	qnorm(0.95)	NA	?qnorm	NA	0	NA	NA
o_probability_17	probability	櫛	スタンドの上	pwd	0	"U(0, 10)の分布からサイズ10の標本を無作為に抽出してください。"	"runif(10, 0, 10)"	NA	?runif	NA	0	NA	NA
o_grouping_18	grouping	帽子	椅子の上	pwd	0	変数xは数ベクトルです。変数yを作成しxの要素を「3より大きいものはそのまま、そうでない場合は3で置き換えて」格納してください。	"y <- ifelse(x > 3, x, 3)"	NA	?ifelse	NA	0	"x <<- runif(10, -5, 10)"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"
o_grouping_19	grouping	手鏡	隅っこ	power	3	"条件に文字列""TRUE""を指定した場合のwhileループは無限ループになるだろうか。TRUE or FALSE"	FALSE	NA	Take a break.(休憩をとろう、ブレイクしよう)	NA	0	NA	NA
o_functions_20	functions	歯ブラシ	ベッドの上	power	3	"f <- function(a = 1, b = a^2) cat(a, ""\n"", b)   |  関数fの定義には問題がある。 TRUE or FALSE"	FALSE	NA	実行してみなって！	NA	0	NA	"tryCatch(rm(f, envir = globalenv()), warning = function(w) {invisible()})"
o_functions_21	functions	バッテリー	戸棚の中	pwd	0	"sayHi <- function(yourName = ""Lady R"") print(paste(""Hi,"", yourName))  |   このsayHi() を呼び出すと何がprintされる?"	"""Hi, Lady R"""	NA	エラーではありません。	NA	0	NA	"tryCatch(rm(sayHi, envir = globalenv()), warning = function(w) {invisible()})"
o_models_22	models	電球	床の上	power	3	"変数x, yはワークスペースに定義された数ベクトルです。xに対してyの線形回帰モデルを適応してください"	lm(y ~ x)	NA	?lm	NA	0	"x <<- rnorm(20, 3, 4); y <<- 2 * x + 1 + rnorm(20)"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"
o_models_23	models	ハガキ	壁面	map	0	"変数x, y間のピアソン相関係数を確認してください。"	"cor(x, y)"	NA	?cor	NA	4	"x <<- rnorm(20, 3, 4); y <<- 2 * x + 1 + rnorm(20)"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"
o_plots_24	plots	雑誌	スタンドの上	tip	0	"変数faithfulに格納されたデータセットをプロットしてください。ポイントマーカーは文字""f""とし、メインタイトルを""Old Faithful geyser""としてください。"	"plot(faithful, pch = ""f"", main = ""Old Faithful geyser"")"	NA	?pch	パスワードの状態を確認したい場合は、?seePasswordを試してください。	0	NA	NA
o_plots_25	plots	フォーク	くずかご	power	3	プロットにy = 3*x -1の線を追加してください。破線(line type 2)を指定し、線幅3、色はblueとしますが、blueという文字列を使用せずに指定してください。	"abline(-1, 3, lty = 2, lwd = 3, col = 4)"	NA	?abline	NA	0	"x <<- rnorm(20, 5, 2); y <<- 5 * x + rnorm(20, 0, 5); y <<- plot(x, y, pch = 4, col = 2)"	"tryCatch(rm(x, y, envir = globalenv()), warning = function(w) {invisible()})"
o_packagesTower_26	packagesTower	ハンカチ	窓枠の上	power	3	MASSパッケージを読み込んでください。	library(MASS)	NA	必要な要素は文中にあります	NA	0	NA	NA
o_packagesTower_27	packagesTower	イヤリング	床の上	pwd	0	あなたのセッション情報を確認してください。	sessionInfo()	NA	必要な要素は文中にあります	NA	0	NA	NA
o_osTower_28	osTower	腕時計	隅っこ	power	3	"zork1.zip""があなたのワーキングディレクトリにあるか確認してください。"	"file.exists(""zork1.zip"")"	NA	必要な要素は文中にあります	NA	0	NA	NA
o_osTower_29	osTower	ビー玉	スタンドの上	tip	0	現在の時刻を確認してください。	Sys.time()	NA	?Sys.time	summonRDragon()を、今。	0	NA	NA
